avalon-framework,
babel,
biojava3-live,
biomaj,
castor,
checkstyle,
commons-configuration,
dita-ot,
eclipse,
eclipse-cdt,
eclipse-mylyn,
ehcache,
entagged,
geronimo-validation-1.0-spec,
glassfish,
gnome-split,
ikvm,
ivy,
jaxme,
jetty,
jetty8,
jodreports,
knopflerfish-osgi,
jtidy,
libapache-poi-java,
libbase,
libbtm-java,
libfreemarker-java,
libhibernate3-java,
libjazzy-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-reflect-java,
libjboss-web-services-java,
libjcommon-java,
libjettison-java,
libjgroups-java,
libjrosetta-java,
libjsyntaxpane-java,
libnb-javaparser-java,
libreoffice,
libspring-java,
mule,
natbraille,
netbeans,
nexuiz-data,
openjpa,
openrocket,
osgi-compendium,
osmosis,
pdfsam,
piespy,
plexus-containers1.5,
plexus-maven-plugin,
proguard,
plexus-containers,
saxonb,
scala,
testng,
velocity-tools,
xhtmlrenderer,
zeroc-ice,
