apache-mime4j,
basex,
biojava-live,
biojava3-live,
castor,
eclipse,
eclipse-mylyn,
eclipselink,
glassfish,
ikvm,
jackrabbit,
jalview,
java3d,
jetty,
jmol,
jhdf,
knopflerfish-osgi,
libgnuinet-java,
libhibernate-validator-java,
libhibernate3-java,
libjna-posix-java,
libjnr-posix-java,
liblastfm-java,
libnb-javaparser-java,
lucene-solr,
mpj,
netbeans,
openafs,
opennebula,
osgi-compendium,
osgi-foundation-ee,
pegasus-wms,
pentaho-reporting-flow-engine,
svgsalamander,
swt-gtk,
tau,
tomcat6,
tomcat7,
umlet,
xpilot-ng,
