antlr,
antlr3,
apgdiff,
axis,
basex,
batik,
biojava-live,
biomaj,
boo,
bsh,
castor,
bootchart,
chromium-browser,
coco-java,
cpptasks,
doxia,
ecj,
eclipse,
eclipse-cdt-pkg-config,
eclipselink,
eigenbase-resgen,
elki,
felix-gogo-runtime,
felix-utils,
flute,
glassfish,
hsqldb,
htmlunit-core-js,
icedtea-web,
idm-console-framework,
ikvm,
jackrabbit,
jakarta-jmeter,
janino,
javacc,
javahelp2,
javassist,
jcm,
jenkins-htmlunit-core-js,
jetty,
jetty8,
jeuclid,
jexcelapi,
jfugue,
jing-trang,
jmol,
jruby,
jruby-joni,
jsilver,
jsoup,
jvyamlb,
knopflerfish-osgi,
latexdraw,
jtidy,
libcobra-java,
libcommons-cli-java,
libcommons-jexl-java,
libcommons-jxpath-java,
libhibernate3-java,
libhtmlparser-java,
libitext1-java,
libjaxp1.3-java,
libjcommon-java,
libjena-iri-java,
libjogl2-java,
libjgraphx-java,
libnb-javaparser-java,
libnetx-java,
libpdfbox-java,
libpgjava,
libreoffice,
libspring-ldap-java,
libspring-java,
libxalan2-java,
libxpp2-java,
logback,
logisim,
mathpiper,
netbeans,
opsin,
pegasus-wms,
rhino,
rsyntaxtextarea,
ruby-json,
sablecc,
sacjava,
sisc,
sitemesh,
stylebook,
sumo,
sunflow,
tau,
tdiary,
testng,
tomcat6,
tomcat7,
umlet,
velocity,
visolate,
weka,
xml-commons-external,
xml-crimson,
yecht,
yui-compressor,
zeroc-ice,
