aether,
antlr,
aspectj,
avalon-framework,
axis,
babel,
basex,
batik,
bnd,
boo,
castor,
cortado,
dita-ot,
eclipse,
eclipselink,
electric,
felix-framework,
fop,
geronimo-jpa-2.0-spec,
geronimo-jpa-3.0-spec,
glassfish,
gridengine,
htmlunit,
icedtea-web,
ikvm,
ivy,
jakarta-ecs,
jakarta-taglibs-standard,
java-gnome,
javacc,
javadap,
jenkins-htmlunit,
jetty,
jetty8,
jgit,
jing-trang,
jinput,
jta,
jtb,
jbossas4,
josm,
junit4,
jutils,
jython,
knopflerfish-osgi,
libbtm-java,
libguestfs,
libhibernate-commons-annotations-java,
libhibernate-validator-java,
libhibernate3-java,
libitext5-java,
libjackson-json-java,
libjaxp1.3-java,
libjboss-cache1-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-classloader-java,
libjboss-common-java,
libjboss-integration-java,
libjboss-marshalling-java,
libjboss-remoting-java,
libjboss-serialization-java,
libjdo-api-java,
libjgroups-java,
libjgroups2.6-java,
libjpf-java,
libnetx-java,
libpdfbox-java,
libproxool-java,
libpal-java,
libreoffice,
libsaxon-java,
libxalan2-java,
libxbean-java,
libxerces2-java,
libxml-commons-resolver1.1-java,
lucene-solr,
mathpiper,
lucene2,
mkgmap,
modello,
modello1.4,
netbeans,
openjdk-6,
openjdk-7,
openjpa,
osgi-core,
pilot-link,
pokerth,
postgis,
pylucene,
sablecc,
saxonb,
scala,
segment,
simple-xml,
sisc,
slashtime,
subversion,
svnkit,
swi-prolog,
triplea,
trove3,
weka,
wsdl2c,
virtuoso-opensource,
xapian-bindings,
xml-commons-external,
xhtmlrenderer,
xslthl,
yap,
zeroc-ice,
zeroc-icee-java,
zookeeper,
