0ad,
aranym,
arpack++,
audiofile,
bcpp,
blender,
blitz++,
bml,
boost1.49,
calligra,
celestia,
cgal,
chromium-browser,
condor,
cvc3,
dbus-c++,
desmume,
dino,
djvulibre,
dosbox,
doxygen,
espeak,
espeakedit,
extremetuxracer,
falconpl,
flush,
glob2,
gnote,
grantlee,
ibus-sunpinyin,
icedove,
iceweasel,
inkscape,
innoextract,
kadu,
kdenetwork,
kst,
ktp-common-internals,
libopenraw,
lyx,
minetest,
mednafen,
mysql-workbench,
openpref,
openttd,
phonon-backend-gstreamer,
phonon-backend-vlc,
photoprint,
praat,
qt4-x11,
qtmobility,
qtwebkit,
raidutils,
scummvm,
sludge,
sofa-framework,
springlobby,
telepathy-qt,
tripwire,
vavoom,
warmux,
webkit,
wesnoth-1.10,
wine-gecko-1.4,
xstow,
