actionaz,
aqsis,
avifile,
blender,
boost1.49,
boswars,
btanks,
celestia,
clanlib,
condor,
digikam,
doxygen,
exiv2,
extremetuxracer,
falconpl,
fife,
fox1.6,
fracplanet,
gnudatalanguage,
guichan,
inkscape,
ipe,
kde-workspace,
kde4libs,
kdepimlibs,
kicad,
kst,
lammps,
lensfun,
libccscript3,
libclaw,
lightspark,
mana,
mandelbulber,
matplotlib,
mrtrix,
musescore,
odin,
okular,
opencv,
openvrml,
pipenightdreams,
pipewalker,
plastimatch,
plee-the-bear,
pyside,
q4wine,
qastools,
qonk,
qt4-x11,
rlvm,
sam2p,
scummvm,
shotdetect,
slim,
tagua,
tellico,
tesseract,
toonloop,
wesnoth-1.10,
wxwidgets2.8,
