9base,
a2ps,
acct,
adolc,
an,
amanda,
anubis,
augeas,
avahi,
avr-libc,
awesfx,
binfmt-support,
bison,
boost1.49,
bopm,
bsdgames,
c-cpp-reference,
cc1111,
cflow,
check,
chromium-browser,
clang,
clisp,
condor,
coreutils,
cpio,
cvs,
dacs,
db,
dc3dd,
dico,
diffutils,
dmake,
dmalloc,
ecl,
eegdev,
efilinux,
eglibc,
elk,
f2c,
fastjar,
fdclone,
febootstrap,
fftw,
fftw3,
findutils,
frama-c,
freedink,
gauche,
gcal,
gcl,
gearmand,
gettext,
gmediaserver,
gnuit,
gnulib,
gnutls26,
graphviz,
grass,
grep,
grub2,
gsasl,
gtk-gnutella,
guile-2.0,
gzip,
halibut,
haskell-llvm-base,
heroes,
hivex,
htdig,
html-xml-utils,
ibutils,
icoutils,
id-utils,
inetutils,
inn,
innfeed,
ipxe,
kfreebsd-8,
klibc,
ksh,
lam,
ldns,
lftp,
libaal,
libalberta2,
libcanberra,
libdap,
libexplain,
libgc,
libguestfs,
libidn,
libpipeline,
libprelude,
libreoffice,
libspf2,
libtasn1-3,
libtrace3,
libunistring,
libvirt,
linux,
linux86,
lldpd,
log4c,
lmms,
m4,
magic,
mah-jong,
mailutils,
man-db,
maude,
mkelfimage,
mono,
msp430-libc,
muddleftpd,
nagios-plugins,
netcf,
newlib,
mpich2,
nsd3,
nsis,
nwchem,
oath-toolkit,
ocaml-extunix,
octave,
openhackware,
openmpi,
parrot,
parted,
patch,
perl,
prelude-lml,
pspp,
putty,
qt4-x11,
quik,
r-base,
racket,
rcs,
rcs-blame,
recode,
recutils,
renameutils,
rlinetd,
rrep,
rtai,
rush,
sdcc,
sed,
sgt-puzzles,
sharutils,
shishi,
silo,
slurm-llnl,
sndobj,
source-highlight,
splint,
sqlite3,
starpu,
synopsis,
syslinux,
texinfo,
tf,
tf5,
tar,
tinc,
tnef,
uclibc,
unbound,
unrtf,
varnish,
vde2,
virtualbox,
vkeybd,
wdiff,
wesnoth-1.10,
wget,
wmweather+,
why,
xfsprogs,
xtrkcad,
yaboot,
zile,
zfs-fuse,
