aewm,
afterstep,
alleyoop,
alsa-lib,
angband,
anjuta,
aribas,
as31,
asclock,
augeas,
avra,
awffull,
bind9,
bluez,
bluez-hcidump,
bochs,
boxes,
cflow,
chromium-browser,
collectd,
cpu,
cyrus-imapd-2.4,
dash,
dcap,
devilspie,
dvbcut,
elektra,
elementtidy,
elinks,
elmerfem,
esekeyd,
esmtp,
evolution-rss,
filtergen,
findutils,
fish,
flam3,
freegish,
funnelweb,
fwlogwatch,
gargoyle-free,
gbatnav,
gcc-h8300-hms,
gccxml,
gettext,
gnumeric,
goaccess,
gpe-conf,
gpx2shp,
graphviz,
grass,
grib-api,
gridengine,
gromacs,
grub2,
gsasl,
gst-plugins-bad0.10,
gst-plugins-good0.10,
gstreamer0.10-ffmpeg,
gtkatlantic,
haskell-yaml,
hercules,
hexec,
htmlcxx,
hugs98,
iceweasel,
icmake,
icmpush,
intercal,
json-glib,
kbuild,
kildclient,
kino,
klibc,
latex2rtf,
keepalived,
lbreakout2,
libapreq2,
libav,
libbpp-raa,
libdebian-installer,
libdbusmenu,
libdivecomputer,
libetpan,
libfsotransport,
libgda5,
libgweather,
liblscp,
libmatheval,
libmpdclient,
libmrss,
libnxml,
libpam-blue,
libpano13,
librra,
libtrace3,
libvalhalla,
libxml-bare-perl,
libxml2,
libyaml,
libyaml-libyaml-perl,
linux,
liquidwar,
logtool,
ltris,
luola,
lyskom-server,
magic,
mailagent,
mailutils,
microcom,
mig,
ming,
mozc,
mplayer,
mplayer2,
msn-pecan,
multipath-tools,
namazu2,
nasm,
nc6,
ndpmon,
netcdf,
netexpect,
netsurf,
network-manager,
mpich2,
mswatch,
ohcount,
olsrd,
open-cobol,
open-iscsi,
openbgpd,
openmpi,
orbital-eunuchs-sniper,
ots,
paraview,
pegasus-wms,
pev,
pgpool2,
pidgin,
petitboot,
postgresql-8.4,
postgresql-9.1,
procps,
proftpd-dfsg,
pure-ftpd,
python-http-parser,
python2.6,
python2.7,
python3.2,
qof,
radare2,
radiance,
rcs-blame,
redsocks,
rsyslog,
ruby-json,
ruby1.9.1,
scotch,
sgrep,
shapetools,
sip4,
snort,
stfl,
strongswan,
swi-prolog,
swig2.0,
swish-e,
tdiary,
teg,
tgt,
the,
thin,
thinkfan,
tidy,
tkgate,
tnat64,
torsocks,
totem-pl-parser,
transcode,
tsocks,
udunits,
userv,
valatoys,
vlc,
vnc4,
vtk,
wcalc,
webalizer,
webdruid,
wine,
x11-utils,
virtuoso-opensource,
xboard,
xdmf,
xine-lib,
xmlsec1,
xorg-server,
xpilot-ng,
xxgdb,
yap,
yash,
yasm,
yersinia,
