alevt,
alpine,
aoeui,
aqualung,
argus-client,
asterisk,
axel,
ayttm,
barnowl,
beav,
bitlbee,
boost1.49,
cadaver,
cfingerd,
cmucl,
cmus,
codeblocks,
courier,
covered,
cvstrac,
cups,
dhex,
dreamchess,
dvipsk-ja,
eb,
elinks,
emacs23,
emerillon,
elvis,
exim4,
falconpl,
fontforge,
fossil,
ftjam,
funtools,
gammu,
gargoyle-free,
gcc-h8300-hms,
gccxml,
gcompris,
gdb,
geany,
geeqie,
gnumeric,
gnushogi,
grub2,
gtk-gnutella,
gtkwave,
gurlchecker,
heimdal,
hexedit,
hnb,
icedove,
jam,
jed,
jeex,
jless,
kdrill,
kfreebsd-8,
kfreebsd-9,
knews,
ladr,
ladspa-sdk,
latexila,
ldapvi,
leafpad,
less,
libedit,
libgadu,
libmpdclient,
libmrss,
librsync,
linux,
linuxtv-dvb-apps,
luatex,
magic,
mailutils,
mairix,
mc,
mg,
microdc2,
morla,
most,
mousepad,
mpc,
mysql-5.5,
namazu2,
nano,
navit,
ncpfs,
ncurses-hexedit,
ne,
nedit,
netrik,
netsurf,
netw-ib-ox-ag,
ng,
nvi,
openipmi,
openldap,
owl,
pal,
pcb,
phalanx,
pidgin,
plucker,
polyglot,
pork,
prerex,
radare2,
readline5,
readline6,
roxterm,
ruby-ferret,
samba,
samba4,
sciteproj,
sbcl,
screader,
screen,
scrounge-ntfs,
searchmonkey,
shapetools,
sjeng,
spass,
spooles,
sra-sdk,
swish++,
swish-e,
sxid,
tcpslice,
tcpxtract,
texinfo,
tf,
tf5,
tin,
tnftp,
tweak,
unicon,
vifm,
vigor,
vile,
vim,
vlc,
vnc4,
w3m,
whowatch,
wily,
wine,
wordnet,
x11-apps,
virtuoso-opensource,
why,
xchat,
texlive-bin,
yforth,
zapping,
zh-autoconvert,
zile,
zvbi,
