4store,
ace,
acm,
aolserver4,
ant-phone,
audit,
avahi,
avfs,
balsa,
baycomusb,
biloba,
bind9,
bluez,
burp,
cfengine3,
cgoban,
cmucl,
cmus,
connman,
crossfire,
cvs,
cyrus-sasl2,
db4.7,
dbus-python,
cups,
dcap,
binkd,
dico,
diet,
dirmngr,
dns2tcp,
directfb,
dvbstream,
epic4,
epic5,
erlang,
etw,
eggdrop,
file-roller,
fio,
freebsd-utils,
freetds,
ganglia,
gcc-h8300-hms,
gdb,
gearmand,
gfarm,
globus-rls-server,
glusterfs,
gmerlin,
gnet,
gnunet,
gnupg2,
goban,
gpe-soundserver,
gsasl,
gpa,
gxine,
heimdal,
hugs98,
ibus,
infon,
ircii,
isdnutils,
ivykis,
kde-workspace,
knews,
koules,
krb5,
lasso,
lbcd,
lbreakout2,
libassuan,
libdbusmenu,
libgtop2,
libindicate,
libixp,
liblscp,
liblo,
libowfat,
libprelude,
libssh,
lighttpd,
linux,
liquidwar,
lsh-utils,
mailutils,
mcelog,
mig,
miredo,
moc,
mod-ruby,
nabi,
nedit,
nis,
nsd3,
nyquist,
obexd,
ofono,
ogdi-dfsg,
open-iscsi,
openafs,
openntpd,
openocd,
openswan,
orbit2,
openvswitch,
pcaputils,
perdition,
pgbouncer,
pidentd,
pidgin,
pioneers,
pmacct,
polipo,
postfix-gld,
postgresql-9.1,
psensor,
rdist,
rplay,
samba,
samba4,
sawfish,
scrollz,
see,
sflphone,
shellinabox,
shishi,
slrn,
smsclient,
speech-dispatcher,
sssd,
st,
strongswan,
sushi,
swi-prolog,
syslog-ng,
task-spooler,
tetrinet,
tint2,
tinydyndns,
tmux,
tsdecrypt,
tuxmath,
umview,
valgrind,
vdr-plugin-osdserver,
vdr-plugin-streamdev,
vnc4,
voms,
vtun,
wdm,
wine,
wmii,
x11-session-utils,
xblast-tnt,
xchat,
xchat-gnome,
xdm,
xfrisk,
xinetd,
xinit,
xmlrpc-c,
xmlrpc-epi,
xpilot-ng,
xqf,
xview,
zephyr,
