advancecomp,
aide,
amanda,
autogen,
avr-libc,
ayttm,
binutils,
binutils-h8300-hms,
bison,
bopm,
cc1111,
ccache,
cdrdao,
cadaver,
centerim,
cfengine2,
cfengine3,
cflow,
charybdis,
chimera2,
chromium-browser,
citadel,
clearsilver,
cloop,
coreutils,
cpl,
cscope,
ctdb,
cyrus-sasl2,
daemon,
dante,
db,
db4.7,
db4.8,
dc3dd,
cups,
dbench,
cdrkit,
dico,
dictd,
dietlibc,
diffutils,
diod,
distcc,
dpkg,
ecl,
eegdev,
eglibc,
elinks,
epm,
eggdrop,
fastjar,
freeradius,
gawk,
gcc-h8300-hms,
gccxml,
gcl,
gdb,
gettext,
git,
global,
gmediaserver,
gmp,
gnokii,
gnulib,
gnutls26,
gputils,
grass,
grep,
gridengine,
groff,
gsasl,
guile-2.0,
heimdal,
htdig,
htmldoc,
hylafax,
icedove,
iceweasel,
icinga,
id-utils,
inetutils,
inn2,
instead,
iperf,
ircd-hybrid,
ircd-ratbox,
ircii,
jbig2dec,
klibc,
ksh,
kstart,
lam,
jwhois,
krb5-sync,
lcdproc,
ldb,
ldns,
leafnode,
libast,
libesmtp,
libexplain,
libfile-rsyncp-perl,
libgii,
libguestfs,
libmatio,
libnetfilter-conntrack,
libpam-afs-session,
libpam-krb5,
libpcap,
libpipeline,
libprelude,
libpreludedb,
libreoffice,
libsmi,
librsync,
libtar,
libvirt,
lifelines,
linux86,
liquidwar,
log4cpp,
log4shib,
m4,
mgp,
mingw-w64,
minicom,
muddleftpd,
mutt,
nagios-nrpe,
nagios-plugins,
nagios3,
nasm,
net-snmp,
netatalk,
netcf,
netdiag,
newlib,
netrw,
nmap,
nsd3,
nss,
ntp,
nut,
nvi,
oath-toolkit,
oidentd,
openafs,
openbabel,
php5,
pork,
postgresql-8.4,
postgresql-9.1,
prelude-lml,
prelude-manager,
pspp,
raptor,
raptor2,
rasqal,
rcs,
remctl,
rlinetd,
root-system,
rsync,
sam2p,
samba,
samba4,
sane-backends-extras,
sane-frontends,
sbnc,
sane-backends,
scorched3d,
scrollz,
sdcc,
sendfile,
shishi,
siege,
simgrid,
snort,
slrn,
smsclient,
ssed,
starplot,
sudo,
squid,
swig2.0,
syslinux,
talloc,
tango,
tcpdump,
tcpreplay,
tdb,
tevent,
tar,
tnftp,
uclibc,
unbound,
unixodbc,
urlview,
ust,
vigor,
vnc4,
webauth,
wget,
wine-gecko-1.4,
wmweather+,
xfrisk,
xsane,
yardradius,
yaz,
