afterstep,
alsa-lib,
avahi,
avfs,
ayttm,
bind9,
busybox,
centerim,
chromium-browser,
cl-clx-sbcl,
claws-mail,
cmucl,
cntlm,
coreutils,
ctdb,
dante,
cups,
dhcpcd,
dietlibc,
dns2tcp,
dvswitch,
dx,
dxsamples,
ecl,
eegdev,
eglibc,
elinks,
exonerate,
fdclone,
fetchmail,
ffproxy,
freegish,
fuse-posixovl,
geany,
getstream,
glib2.0,
glusterfs,
gmerlin,
gnulib,
gnutls26,
gsasl,
guile-1.6,
guile-1.8,
guile-2.0,
hardinfo,
heimdal,
icedove,
iceweasel,
imapfilter,
httest,
isc-dhcp,
isdnutils,
jocaml,
kannel,
kde-workspace,
klibc,
ksh,
lam,
lcgdm,
ldb,
libast,
libexplain,
libfixposix,
libfsotransport,
libguac,
libguestfs,
libiscsi,
libixp,
libkqueue,
liblscp,
libmnl,
libmpdclient,
libnfs,
libnice,
libnl,
libnl3,
libpgm,
libprelude,
librabbitmq,
libreoffice,
libsdp,
libssh,
libsylph,
libvirt,
libzorpll,
linux,
luakit,
luatex,
mailcheck,
mdm,
meanwhile,
midori,
monit,
mixxx,
muddleftpd,
neko,
neon27,
netatalk,
netcf,
netrek-client-cow,
newlib,
ntp,
ocaml,
ofono,
nspr,
open-iscsi,
openct,
openvpn,
parrot,
pcaputils,
pcsxr,
pgbouncer,
pilot-link,
pong2,
postgresql-8.4,
postgresql-9.1,
prelude-lml,
pspp,
psqlodbc,
qemu,
qemu-kvm,
radare2,
radvd,
roaraudio,
rsync,
ruby1.8,
ruby1.9.1,
rush,
samba,
samba4,
scheme48,
scm,
screader,
screen,
scsh-0.6,
sdlbasic,
shishi,
sispmctl,
slirp,
socket,
swi-prolog,
sylpheed,
systemd,
talloc,
tcp-wrappers,
tdb,
tevent,
tf,
tf5,
tla,
transcode,
twoftpd,
uclibc,
uim,
unixodbc,
uwsgi,
vde2,
vdr-plugin-streamdev,
virtualbox,
vnc4,
wdm,
wget,
wine,
wine-gecko-1.4,
wmbiff,
wmii,
xarchiver,
xbmc,
xdm,
xen,
xlassie,
xmlrpc-c,
texlive-bin,
yafc,
ytalk,
zsh,
zsh-beta,
